voted_for,living,employment,income
Trump,Suburb,Permanently disabled,10-50k
Biden,Rural area,Permanently disabled,100-200k
Trump,Suburb,Full-time,10-50k
Trump,Rural area,Retired,10-50k
Trump,Rural area,Full-time,50-100k
Biden,Suburb,Unemployed,50-100k
Biden,Suburb,Part-time,50-100k
Biden,City,Full-time,10-50k
Biden,Town,Full-time,50-100k
Biden,Suburb,Full-time,> 500k
Trump,Rural area,Full-time,50-100k
Trump,Rural area,Part-time,> 500k
Trump,Rural area,Full-time,100-200k
Biden,Town,Retired,200-500k
Biden,Suburb,Full-time,50-100k
Biden,Suburb,Full-time,50-100k
Biden,Suburb,Part-time,50-100k
Trump,Suburb,Unemployed,10-50k
Biden,Rural area,Retired,50-100k
Biden,Suburb,Retired,10-50k
Biden,Suburb,Retired,> 500k
Biden,Suburb,Homemaker,10-50k
Trump,Suburb,Part-time,10-50k
Trump,Suburb,Retired,10-50k
Biden,Suburb,Part-time,10-50k
Biden,Suburb,Unemployed,50-100k
Trump,Town,Retired,> 500k
Trump,Town,Retired,50-100k
Biden,Suburb,Full-time,100-200k
Trump,Town,Full-time,200-500k
Biden,Suburb,Homemaker,50-100k
Trump,Suburb,Full-time,100-200k
Biden,Suburb,Retired,10-50k
Trump,Suburb,Full-time,100-200k
Trump,Suburb,Retired,50-100k
Biden,Suburb,Retired,10-50k
Biden,Town,Full-time,50-100k
Biden,Suburb,Retired,100-200k
Biden,City,Full-time,100-200k
Trump,Suburb,Retired,> 500k
Trump,Town,Retired,50-100k
Biden,Suburb,Homemaker,50-100k
Trump,City,Part-time,50-100k
Biden,Suburb,Full-time,200-500k
Trump,Town,Full-time,10-50k
Biden,City,Full-time,100-200k
Trump,City,Temporarily laid off,200-500k
Biden,City,Unemployed,10-50k
Biden,Suburb,Retired,50-100k
Biden,Rural area,Temporarily laid off,50-100k
Biden,City,Retired,100-200k
Trump,Suburb,Full-time,100-200k
Biden,City,Full-time,50-100k
Trump,Suburb,Full-time,50-100k
Biden,Rural area,Full-time,50-100k
Trump,Suburb,Part-time,> 500k
Trump,Suburb,Full-time,50-100k
Trump,Suburb,Full-time,10-50k
Biden,City,Retired,200-500k
Trump,Town,Permanently disabled,100-200k
Trump,Rural area,Full-time,50-100k
Biden,Suburb,Full-time,100-200k
Trump,Rural area,Retired,10-50k
Biden,Town,Retired,10-50k
Biden,Suburb,Retired,100-200k
Biden,Suburb,Part-time,50-100k
Trump,Rural area,Retired,50-100k
Trump,City,Temporarily laid off,> 500k
Trump,City,Full-time,10-50k
Biden,Suburb,Part-time,100-200k
Trump,Suburb,Permanently disabled,50-100k
Biden,Suburb,Full-time,100-200k
Biden,City,Retired,10-50k
Biden,City,Full-time,100-200k
Trump,Suburb,Homemaker,50-100k
Trump,Suburb,Unemployed,> 500k
Biden,City,Retired,10-50k
Trump,Rural area,Permanently disabled,10-50k
Biden,Rural area,Retired,> 500k
Trump,Suburb,Retired,> 500k
Trump,Suburb,Retired,100-200k
Biden,Town,Unemployed,10-50k
Biden,City,Retired,> 500k
Trump,Suburb,Full-time,> 500k
Biden,Suburb,Retired,50-100k
Biden,Suburb,Full-time,50-100k
Trump,Suburb,Part-time,50-100k
Trump,Suburb,Full-time,> 500k
Trump,Town,Full-time,100-200k
Biden,Rural area,Full-time,50-100k
Biden,Suburb,Permanently disabled,50-100k
Biden,Town,Permanently disabled,< 10k
Trump,Town,Full-time,100-200k
Biden,Suburb,Full-time,50-100k
Trump,Rural area,Full-time,< 10k
Biden,Suburb,Full-time,> 500k
Trump,Town,Full-time,100-200k
Biden,Suburb,Retired,50-100k
Biden,Suburb,Full-time,10-50k
Biden,Suburb,Retired,50-100k
Biden,City,Full-time,10-50k
Biden,Town,Retired,100-200k
Biden,City,Retired,> 500k
Trump,Town,Retired,50-100k
Biden,Rural area,Retired,> 500k
Trump,Town,Part-time,50-100k
Biden,City,Full-time,100-200k
Trump,Suburb,Part-time,10-50k
Biden,Town,Full-time,50-100k
Trump,City,Homemaker,> 500k
Biden,Town,Permanently disabled,> 500k
Trump,Suburb,Retired,> 500k
Trump,City,Full-time,50-100k
Biden,Town,Retired,100-200k
Biden,Rural area,Full-time,50-100k
Trump,Suburb,Part-time,100-200k
Trump,Rural area,Retired,100-200k
Biden,City,Temporarily laid off,100-200k
Biden,Suburb,Unemployed,10-50k
Biden,Rural area,Retired,50-100k
Trump,Suburb,Retired,10-50k
Trump,City,Full-time,100-200k
Biden,Suburb,Retired,10-50k
Biden,Suburb,Permanently disabled,10-50k
Biden,Suburb,Part-time,200-500k
Trump,Suburb,Retired,> 500k
Biden,Rural area,Retired,50-100k
Biden,Suburb,Retired,50-100k
Trump,Town,Full-time,50-100k
Biden,City,Student,50-100k
Biden,Town,Full-time,100-200k
Trump,Rural area,Retired,10-50k
Trump,Rural area,Full-time,10-50k
Biden,Suburb,Retired,50-100k
Trump,Town,Part-time,100-200k
Biden,Suburb,Retired,50-100k
Biden,Rural area,Retired,10-50k
Biden,Rural area,Retired,10-50k
Trump,Suburb,Part-time,100-200k
Trump,Rural area,Full-time,50-100k
Biden,City,Full-time,100-200k
Biden,Suburb,Full-time,100-200k
Trump,Suburb,Retired,50-100k
Biden,Suburb,Retired,50-100k
Biden,Rural area,Retired,50-100k
Biden,City,Full-time,100-200k
Trump,Rural area,Retired,50-100k
Biden,Town,Retired,50-100k
Biden,Suburb,Part-time,> 500k
Biden,Town,Retired,50-100k
Biden,City,Retired,50-100k
Biden,City,Retired,10-50k
Biden,Town,Retired,50-100k
Trump,Suburb,Retired,10-50k
Biden,Suburb,Retired,> 500k
Biden,City,Retired,10-50k
Trump,City,Retired,50-100k
Biden,Suburb,Retired,100-200k
Biden,Rural area,Retired,50-100k
Biden,Suburb,Retired,50-100k
